game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sfo,MossRa00,pass_int,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_sacked,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_long,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_rating,,,,,,
player,201210180sfo,sfo,MossRa00,rush_att,0,,,,,
player,201210180sfo,sfo,MossRa00,rush_yds,0,,,,,
player,201210180sfo,sfo,MossRa00,rush_td,0,,,,,
player,201210180sfo,sfo,MossRa00,rush_long,0,,,,,
player,201210180sfo,sfo,MossRa00,targets,4,,,,,
player,201210180sfo,sfo,MossRa00,rec,1,,,,,
player,201210180sfo,sfo,MossRa00,rec_yds,14,,,,,
player,201210180sfo,sfo,MossRa00,rec_td,0,,,,,
player,201210180sfo,sfo,MossRa00,rec_long,14,,,,,
player,201210180sfo,sfo,MossRa00,fumbles,1,,,,,
player,201210180sfo,sfo,MossRa00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_sacked,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201210180sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201210180sfo,sfo,WalkHu00,rush_att,0,,,,,
player,201210180sfo,sfo,WalkHu00,rush_yds,0,,,,,
player,201210180sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201210180sfo,sfo,WalkHu00,rush_long,0,,,,,
player,201210180sfo,sfo,WalkHu00,targets,1,,,,,
player,201210180sfo,sfo,WalkHu00,rec,1,,,,,
player,201210180sfo,sfo,WalkHu00,rec_yds,12,,,,,
player,201210180sfo,sfo,WalkHu00,rec_td,1,,,,,
player,201210180sfo,sfo,WalkHu00,rec_long,12,,,,,
player,201210180sfo,sfo,WalkHu00,fumbles,0,,,,,
player,201210180sfo,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,KaepCo00,pass_cmp,0,,,,,
player,201210180sfo,sfo,KaepCo00,pass_att,0,,,,,
player,201210180sfo,sfo,KaepCo00,pass_yds,0,,,,,
player,201210180sfo,sfo,KaepCo00,pass_td,0,,,,,
player,201210180sfo,sfo,KaepCo00,pass_int,0,,,,,
