game,2012,4,20120930,201209300atl,car,"Carolina Panthers",28,atl,"Atlanta Falcons",30
player,201209300atl,car,EdwaRo20,qb_hits,1,,,,,
player,201209300atl,car,EdwaRo20,fumbles_rec,0,,,,,
player,201209300atl,car,EdwaRo20,fumbles_rec_yds,0,,,,,
player,201209300atl,car,EdwaRo20,fumbles_rec_td,0,,,,,
player,201209300atl,car,EdwaRo20,fumbles_forced,0,,,,,
player,201209300atl,car,HardGr99,def_int,0,,,,,
player,201209300atl,car,HardGr99,def_int_yds,0,,,,,
player,201209300atl,car,HardGr99,def_int_td,0,,,,,
player,201209300atl,car,HardGr99,def_int_long,0,,,,,
player,201209300atl,car,HardGr99,pass_defended,0,,,,,
player,201209300atl,car,HardGr99,sacks,1.0,,,,,
player,201209300atl,car,HardGr99,tackles_combined,1,,,,,
player,201209300atl,car,HardGr99,tackles_solo,1,,,,,
player,201209300atl,car,HardGr99,tackles_assists,0,,,,,
