game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,phi,BabiJa20,fumbles_rec_td,0,,,,,
player,201211050nor,phi,BabiJa20,fumbles_forced,1,,,,,
player,201211050nor,phi,GrahBr99,def_int,0,,,,,
player,201211050nor,phi,GrahBr99,def_int_yds,0,,,,,
player,201211050nor,phi,GrahBr99,def_int_td,0,,,,,
player,201211050nor,phi,GrahBr99,def_int_long,0,,,,,
player,201211050nor,phi,GrahBr99,pass_defended,0,,,,,
player,201211050nor,phi,GrahBr99,sacks,1.0,,,,,
player,201211050nor,phi,GrahBr99,tackles_combined,2,,,,,
player,201211050nor,phi,GrahBr99,tackles_solo,1,,,,,
player,201211050nor,phi,GrahBr99,tackles_assists,1,,,,,
