game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,phi,HuffJo00,pass_att,0,,,,,
player,201609110phi,phi,HuffJo00,pass_yds,0,,,,,
player,201609110phi,phi,HuffJo00,pass_td,0,,,,,
player,201609110phi,phi,HuffJo00,pass_int,0,,,,,
player,201609110phi,phi,HuffJo00,pass_sacked,0,,,,,
player,201609110phi,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,HuffJo00,pass_long,0,,,,,
player,201609110phi,phi,HuffJo00,pass_rating,,,,,,
player,201609110phi,phi,HuffJo00,rush_att,0,,,,,
player,201609110phi,phi,HuffJo00,rush_yds,0,,,,,
player,201609110phi,phi,HuffJo00,rush_td,0,,,,,
player,201609110phi,phi,HuffJo00,rush_long,0,,,,,
player,201609110phi,phi,HuffJo00,targets,3,,,,,
player,201609110phi,phi,HuffJo00,rec,0,,,,,
player,201609110phi,phi,HuffJo00,rec_yds,0,,,,,
player,201609110phi,phi,HuffJo00,rec_td,0,,,,,
player,201609110phi,phi,HuffJo00,rec_long,0,,,,,
player,201609110phi,phi,HuffJo00,fumbles,0,,,,,
player,201609110phi,phi,HuffJo00,fumbles_lost,0,,,,,
player,201609110phi,cle,KirkCh00,def_int,0,,,,,
player,201609110phi,cle,KirkCh00,def_int_yds,0,,,,,
player,201609110phi,cle,KirkCh00,def_int_td,0,,,,,
player,201609110phi,cle,KirkCh00,def_int_long,0,,,,,
player,201609110phi,cle,KirkCh00,pass_defended,0,,,,,
player,201609110phi,cle,KirkCh00,sacks,1.0,,,,,
player,201609110phi,cle,KirkCh00,tackles_combined,6,,,,,
player,201609110phi,cle,KirkCh00,tackles_solo,4,,,,,
player,201609110phi,cle,KirkCh00,tackles_assists,2,,,,,
player,201609110phi,cle,KirkCh00,tackles_loss,1,,,,,
player,201609110phi,cle,KirkCh00,qb_hits,2,,,,,
player,201609110phi,cle,KirkCh00,fumbles_rec,0,,,,,
player,201609110phi,cle,KirkCh00,fumbles_rec_yds,0,,,,,
player,201609110phi,cle,KirkCh00,fumbles_rec_td,0,,,,,
player,201609110phi,cle,KirkCh00,fumbles_forced,0,,,,,
player,201609110phi,cle,NassCa00,def_int,0,,,,,
player,201609110phi,cle,NassCa00,def_int_yds,0,,,,,
player,201609110phi,cle,NassCa00,def_int_td,0,,,,,
player,201609110phi,cle,NassCa00,def_int_long,0,,,,,
player,201609110phi,cle,NassCa00,pass_defended,1,,,,,
player,201609110phi,cle,NassCa00,sacks,1.0,,,,,
player,201609110phi,cle,NassCa00,tackles_combined,3,,,,,
player,201609110phi,cle,NassCa00,tackles_solo,3,,,,,
player,201609110phi,cle,NassCa00,tackles_assists,0,,,,,
player,201609110phi,cle,NassCa00,tackles_loss,1,,,,,
player,201609110phi,cle,NassCa00,qb_hits,2,,,,,
player,201609110phi,cle,NassCa00,fumbles_rec,0,,,,,
player,201609110phi,cle,NassCa00,fumbles_rec_yds,0,,,,,
player,201609110phi,cle,NassCa00,fumbles_rec_td,0,,,,,
player,201609110phi,cle,NassCa00,fumbles_forced,0,,,,,
player,201609110phi,cle,DaviDe00,def_int,0,,,,,
player,201609110phi,cle,DaviDe00,def_int_yds,0,,,,,
player,201609110phi,cle,DaviDe00,def_int_td,0,,,,,
player,201609110phi,cle,DaviDe00,def_int_long,0,,,,,
player,201609110phi,cle,DaviDe00,pass_defended,0,,,,,
player,201609110phi,cle,DaviDe00,sacks,0.0,,,,,
player,201609110phi,cle,DaviDe00,tackles_combined,7,,,,,
player,201609110phi,cle,DaviDe00,tackles_solo,6,,,,,
player,201609110phi,cle,DaviDe00,tackles_assists,1,,,,,
player,201609110phi,cle,DaviDe00,tackles_loss,0,,,,,
player,201609110phi,cle,DaviDe00,qb_hits,0,,,,,
player,201609110phi,cle,DaviDe00,fumbles_rec,0,,,,,
player,201609110phi,cle,DaviDe00,fumbles_rec_yds,0,,,,,
