game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,nwe,BennMa00,fumbles,0,,,,,
player,201612120nwe,nwe,BennMa00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_cmp,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_att,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_yds,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_td,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_int,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_sacked,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_long,0,,,,,
player,201612120nwe,nwe,MitcMa01,pass_rating,,,,,,
player,201612120nwe,nwe,MitcMa01,rush_att,0,,,,,
player,201612120nwe,nwe,MitcMa01,rush_yds,0,,,,,
player,201612120nwe,nwe,MitcMa01,rush_td,0,,,,,
player,201612120nwe,nwe,MitcMa01,rush_long,0,,,,,
player,201612120nwe,nwe,MitcMa01,targets,5,,,,,
player,201612120nwe,nwe,MitcMa01,rec,4,,,,,
player,201612120nwe,nwe,MitcMa01,rec_yds,41,,,,,
player,201612120nwe,nwe,MitcMa01,rec_td,1,,,,,
player,201612120nwe,nwe,MitcMa01,rec_long,34,,,,,
player,201612120nwe,nwe,MitcMa01,fumbles,0,,,,,
player,201612120nwe,nwe,MitcMa01,fumbles_lost,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_cmp,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_att,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_yds,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_td,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_int,0,,,,,
player,201612120nwe,nwe,DeveJa00,pass_sacked,0,,,,,
