game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,phi,MathRy00,pass_rating,,,,,,
player,201609250phi,phi,MathRy00,rush_att,2,,,,,
player,201609250phi,phi,MathRy00,rush_yds,-5,,,,,
player,201609250phi,phi,MathRy00,rush_td,0,,,,,
player,201609250phi,phi,MathRy00,rush_long,-2,,,,,
player,201609250phi,phi,MathRy00,targets,0,,,,,
player,201609250phi,phi,MathRy00,rec,0,,,,,
player,201609250phi,phi,MathRy00,rec_yds,0,,,,,
player,201609250phi,phi,MathRy00,rec_td,0,,,,,
player,201609250phi,phi,MathRy00,rec_long,0,,,,,
player,201609250phi,phi,MathRy00,fumbles,0,,,,,
player,201609250phi,phi,MathRy00,fumbles_lost,0,,,,,
player,201609250phi,pit,DaviSe00,def_int,0,,,,,
player,201609250phi,pit,DaviSe00,def_int_yds,0,,,,,
player,201609250phi,pit,DaviSe00,def_int_td,0,,,,,
player,201609250phi,pit,DaviSe00,def_int_long,0,,,,,
player,201609250phi,pit,DaviSe00,pass_defended,0,,,,,
player,201609250phi,pit,DaviSe00,sacks,0.0,,,,,
player,201609250phi,pit,DaviSe00,tackles_combined,7,,,,,
player,201609250phi,pit,DaviSe00,tackles_solo,6,,,,,
player,201609250phi,pit,DaviSe00,tackles_assists,1,,,,,
player,201609250phi,pit,DaviSe00,tackles_loss,0,,,,,
player,201609250phi,pit,DaviSe00,qb_hits,0,,,,,
player,201609250phi,pit,DaviSe00,fumbles_rec,0,,,,,
player,201609250phi,pit,DaviSe00,fumbles_rec_yds,0,,,,,
player,201609250phi,pit,DaviSe00,fumbles_rec_td,0,,,,,
player,201609250phi,pit,DaviSe00,fumbles_forced,0,,,,,
player,201609250phi,pit,GayxWi99,def_int,0,,,,,
player,201609250phi,pit,GayxWi99,def_int_yds,0,,,,,
player,201609250phi,pit,GayxWi99,def_int_td,0,,,,,
player,201609250phi,pit,GayxWi99,def_int_long,0,,,,,
player,201609250phi,pit,GayxWi99,pass_defended,0,,,,,
player,201609250phi,pit,GayxWi99,sacks,0.0,,,,,
player,201609250phi,pit,GayxWi99,tackles_combined,5,,,,,
player,201609250phi,pit,GayxWi99,tackles_solo,5,,,,,
player,201609250phi,pit,GayxWi99,tackles_assists,0,,,,,
player,201609250phi,pit,GayxWi99,tackles_loss,0,,,,,
