game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,gnb,VitaDa00,pass_td,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_int,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_sacked,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_long,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_rating,,,,,,
player,201912080gnb,gnb,VitaDa00,rush_att,0,,,,,
player,201912080gnb,gnb,VitaDa00,rush_yds,0,,,,,
player,201912080gnb,gnb,VitaDa00,rush_td,0,,,,,
player,201912080gnb,gnb,VitaDa00,rush_long,0,,,,,
player,201912080gnb,gnb,VitaDa00,targets,1,,,,,
player,201912080gnb,gnb,VitaDa00,rec,0,,,,,
player,201912080gnb,gnb,VitaDa00,rec_yds,0,,,,,
player,201912080gnb,gnb,VitaDa00,rec_td,0,,,,,
player,201912080gnb,gnb,VitaDa00,rec_long,0,,,,,
player,201912080gnb,gnb,VitaDa00,fumbles,0,,,,,
player,201912080gnb,gnb,VitaDa00,fumbles_lost,0,,,,,
player,201912080gnb,was,IoanMa01,def_int,0,,,,,
player,201912080gnb,was,IoanMa01,def_int_yds,0,,,,,
player,201912080gnb,was,IoanMa01,def_int_td,0,,,,,
player,201912080gnb,was,IoanMa01,def_int_long,0,,,,,
player,201912080gnb,was,IoanMa01,pass_defended,0,,,,,
player,201912080gnb,was,IoanMa01,sacks,1.0,,,,,
player,201912080gnb,was,IoanMa01,tackles_combined,3,,,,,
player,201912080gnb,was,IoanMa01,tackles_solo,3,,,,,
player,201912080gnb,was,IoanMa01,tackles_assists,0,,,,,
player,201912080gnb,was,IoanMa01,tackles_loss,1,,,,,
player,201912080gnb,was,IoanMa01,qb_hits,1,,,,,
player,201912080gnb,was,IoanMa01,fumbles_rec,0,,,,,
player,201912080gnb,was,IoanMa01,fumbles_rec_yds,0,,,,,
player,201912080gnb,was,IoanMa01,fumbles_rec_td,0,,,,,
player,201912080gnb,was,IoanMa01,fumbles_forced,0,,,,,
player,201912080gnb,was,PaynDa00,def_int,0,,,,,
player,201912080gnb,was,PaynDa00,def_int_yds,0,,,,,
player,201912080gnb,was,PaynDa00,def_int_td,0,,,,,
player,201912080gnb,was,PaynDa00,def_int_long,0,,,,,
player,201912080gnb,was,PaynDa00,pass_defended,0,,,,,
player,201912080gnb,was,PaynDa00,sacks,1.0,,,,,
player,201912080gnb,was,PaynDa00,tackles_combined,3,,,,,
player,201912080gnb,was,PaynDa00,tackles_solo,3,,,,,
player,201912080gnb,was,PaynDa00,tackles_assists,0,,,,,
player,201912080gnb,was,PaynDa00,tackles_loss,1,,,,,
player,201912080gnb,was,PaynDa00,qb_hits,1,,,,,
player,201912080gnb,was,PaynDa00,fumbles_rec,0,,,,,
player,201912080gnb,was,PaynDa00,fumbles_rec_yds,0,,,,,
