game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,kan,ParkRo01,pass_defended,1,,,,,
player,201811190ram,kan,ParkRo01,sacks,0.0,,,,,
player,201811190ram,kan,ParkRo01,tackles_combined,8,,,,,
player,201811190ram,kan,ParkRo01,tackles_solo,7,,,,,
player,201811190ram,kan,ParkRo01,tackles_assists,1,,,,,
player,201811190ram,kan,ParkRo01,tackles_loss,0,,,,,
player,201811190ram,kan,ParkRo01,qb_hits,0,,,,,
player,201811190ram,kan,ParkRo01,fumbles_rec,0,,,,,
player,201811190ram,kan,ParkRo01,fumbles_rec_yds,0,,,,,
player,201811190ram,kan,ParkRo01,fumbles_rec_td,0,,,,,
player,201811190ram,kan,ParkRo01,fumbles_forced,0,,,,,
player,201811190ram,kan,HitcAn00,def_int,0,,,,,
player,201811190ram,kan,HitcAn00,def_int_yds,0,,,,,
player,201811190ram,kan,HitcAn00,def_int_td,0,,,,,
player,201811190ram,kan,HitcAn00,def_int_long,0,,,,,
player,201811190ram,kan,HitcAn00,pass_defended,0,,,,,
player,201811190ram,kan,HitcAn00,sacks,0.0,,,,,
player,201811190ram,kan,HitcAn00,tackles_combined,6,,,,,
