game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,tam,HowaO.00,rush_long,0,,,,,
player,201811110tam,tam,HowaO.00,targets,2,,,,,
player,201811110tam,tam,HowaO.00,rec,1,,,,,
player,201811110tam,tam,HowaO.00,rec_yds,15,,,,,
player,201811110tam,tam,HowaO.00,rec_td,0,,,,,
player,201811110tam,tam,HowaO.00,rec_long,15,,,,,
player,201811110tam,tam,HowaO.00,fumbles,0,,,,,
player,201811110tam,tam,HowaO.00,fumbles_lost,0,,,,,
player,201811110tam,tam,BratCa00,pass_cmp,0,,,,,
player,201811110tam,tam,BratCa00,pass_att,0,,,,,
player,201811110tam,tam,BratCa00,pass_yds,0,,,,,
player,201811110tam,tam,BratCa00,pass_td,0,,,,,
player,201811110tam,tam,BratCa00,pass_int,0,,,,,
player,201811110tam,tam,BratCa00,pass_sacked,0,,,,,
player,201811110tam,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,BratCa00,pass_long,0,,,,,
player,201811110tam,tam,BratCa00,pass_rating,,,,,,
player,201811110tam,tam,BratCa00,rush_att,0,,,,,
player,201811110tam,tam,BratCa00,rush_yds,0,,,,,
player,201811110tam,tam,BratCa00,rush_td,0,,,,,
player,201811110tam,tam,BratCa00,rush_long,0,,,,,
player,201811110tam,tam,BratCa00,targets,3,,,,,
player,201811110tam,tam,BratCa00,rec,1,,,,,
player,201811110tam,tam,BratCa00,rec_yds,14,,,,,
player,201811110tam,tam,BratCa00,rec_td,0,,,,,
player,201811110tam,tam,BratCa00,rec_long,14,,,,,
player,201811110tam,tam,BratCa00,fumbles,0,,,,,
player,201811110tam,tam,BratCa00,fumbles_lost,0,,,,,
player,201811110tam,was,StroGr00,def_int,1,,,,,
player,201811110tam,was,StroGr00,def_int_yds,23,,,,,
player,201811110tam,was,StroGr00,def_int_td,0,,,,,
player,201811110tam,was,StroGr00,def_int_long,23,,,,,
player,201811110tam,was,StroGr00,pass_defended,1,,,,,
player,201811110tam,was,StroGr00,sacks,0.0,,,,,
player,201811110tam,was,StroGr00,tackles_combined,5,,,,,
player,201811110tam,was,StroGr00,tackles_solo,5,,,,,
player,201811110tam,was,StroGr00,tackles_assists,0,,,,,
player,201811110tam,was,StroGr00,tackles_loss,0,,,,,
player,201811110tam,was,StroGr00,qb_hits,0,,,,,
player,201811110tam,was,StroGr00,fumbles_rec,0,,,,,
player,201811110tam,was,StroGr00,fumbles_rec_yds,0,,,,,
player,201811110tam,was,StroGr00,fumbles_rec_td,0,,,,,
player,201811110tam,was,StroGr00,fumbles_forced,1,,,,,
player,201811110tam,was,NormJo01,def_int,1,,,,,
player,201811110tam,was,NormJo01,def_int_yds,32,,,,,
player,201811110tam,was,NormJo01,def_int_td,0,,,,,
player,201811110tam,was,NormJo01,def_int_long,32,,,,,
player,201811110tam,was,NormJo01,pass_defended,1,,,,,
player,201811110tam,was,NormJo01,sacks,0.0,,,,,
player,201811110tam,was,NormJo01,tackles_combined,1,,,,,
player,201811110tam,was,NormJo01,tackles_solo,1,,,,,
player,201811110tam,was,NormJo01,tackles_assists,0,,,,,
player,201811110tam,was,NormJo01,tackles_loss,0,,,,,
player,201811110tam,was,NormJo01,qb_hits,0,,,,,
player,201811110tam,was,NormJo01,fumbles_rec,0,,,,,
player,201811110tam,was,NormJo01,fumbles_rec_yds,0,,,,,
player,201811110tam,was,NormJo01,fumbles_rec_td,0,,,,,
player,201811110tam,was,NormJo01,fumbles_forced,0,,,,,
player,201811110tam,was,SmitPr00,def_int,0,,,,,
player,201811110tam,was,SmitPr00,def_int_yds,0,,,,,
player,201811110tam,was,SmitPr00,def_int_td,0,,,,,
player,201811110tam,was,SmitPr00,def_int_long,0,,,,,
player,201811110tam,was,SmitPr00,pass_defended,0,,,,,
player,201811110tam,was,SmitPr00,sacks,1.0,,,,,
player,201811110tam,was,SmitPr00,tackles_combined,3,,,,,
player,201811110tam,was,SmitPr00,tackles_solo,2,,,,,
player,201811110tam,was,SmitPr00,tackles_assists,1,,,,,
player,201811110tam,was,SmitPr00,tackles_loss,0,,,,,
player,201811110tam,was,SmitPr00,qb_hits,2,,,,,
player,201811110tam,was,SmitPr00,fumbles_rec,0,,,,,
player,201811110tam,was,SmitPr00,fumbles_rec_yds,0,,,,,
player,201811110tam,was,SmitPr00,fumbles_rec_td,0,,,,,
player,201811110tam,was,SmitPr00,fumbles_forced,0,,,,,
player,201811110tam,was,IoanMa01,def_int,0,,,,,
player,201811110tam,was,IoanMa01,def_int_yds,0,,,,,
player,201811110tam,was,IoanMa01,def_int_td,0,,,,,
player,201811110tam,was,IoanMa01,def_int_long,0,,,,,
player,201811110tam,was,IoanMa01,pass_defended,0,,,,,
