game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,car,WrigJa02,rec_first_down,1,,,,,
player,201811250car,car,WrigJa02,rec_air_yds,15,,,,,
player,201811250car,car,WrigJa02,rec_air_yds_per_rec,7.5,,,,,
player,201811250car,car,WrigJa02,rec_yac,10,,,,,
player,201811250car,car,WrigJa02,rec_yac_per_rec,5.0,,,,,
player,201811250car,car,WrigJa02,rec_broken_tackles,0,,,,,
player,201811250car,car,WrigJa02,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,WrigJa02,rec_drops,0,,,,,
player,201811250car,car,WrigJa02,rec_drop_pct,0.0,,,,,
player,201811250car,car,ManhCh00,targets,1,,,,,
player,201811250car,car,ManhCh00,rec,0,,,,,
player,201811250car,car,ManhCh00,rec_yds,0,,,,,
player,201811250car,car,ManhCh00,rec_first_down,,,,,,
player,201811250car,car,ManhCh00,rec_air_yds,0,,,,,
player,201811250car,car,ManhCh00,rec_air_yds_per_rec,,,,,,
player,201811250car,car,ManhCh00,rec_yac,0,,,,,
player,201811250car,car,ManhCh00,rec_yac_per_rec,,,,,,
player,201811250car,car,ManhCh00,rec_broken_tackles,0,,,,,
player,201811250car,car,ManhCh00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,ManhCh00,rec_drops,0,,,,,
player,201811250car,car,ManhCh00,rec_drop_pct,0.0,,,,,
player,201811250car,car,VanRGr00,pos,G,,,,,
player,201811250car,car,VanRGr00,offense,59,,,,,
player,201811250car,car,VanRGr00,off_pct,100%,,,,,
player,201811250car,car,VanRGr00,defense,0,,,,,
player,201811250car,car,VanRGr00,def_pct,0%,,,,,
player,201811250car,car,VanRGr00,special_teams,6,,,,,
player,201811250car,car,VanRGr00,st_pct,22%,,,,,
player,201811250car,car,MotoTa00,pos,T,,,,,
player,201811250car,car,MotoTa00,offense,59,,,,,
player,201811250car,car,MotoTa00,off_pct,100%,,,,,
player,201811250car,car,MotoTa00,defense,0,,,,,
player,201811250car,car,MotoTa00,def_pct,0%,,,,,
player,201811250car,car,MotoTa00,special_teams,6,,,,,
player,201811250car,car,MotoTa00,st_pct,22%,,,,,
player,201811250car,car,TurnTr01,pos,G,,,,,
player,201811250car,car,TurnTr01,offense,59,,,,,
player,201811250car,car,TurnTr01,off_pct,100%,,,,,
player,201811250car,car,TurnTr01,defense,0,,,,,
player,201811250car,car,TurnTr01,def_pct,0%,,,,,
player,201811250car,car,TurnTr01,special_teams,6,,,,,
player,201811250car,car,TurnTr01,st_pct,22%,,,,,
player,201811250car,car,ClarCh21,pos,T,,,,,
player,201811250car,car,ClarCh21,offense,59,,,,,
player,201811250car,car,ClarCh21,off_pct,100%,,,,,
player,201811250car,car,ClarCh21,defense,0,,,,,
player,201811250car,car,ClarCh21,def_pct,0%,,,,,
player,201811250car,car,ClarCh21,special_teams,6,,,,,
player,201811250car,car,ClarCh21,st_pct,22%,,,,,
player,201811250car,car,NewtCa00,pos,QB,,,,,
player,201811250car,car,NewtCa00,offense,59,,,,,
player,201811250car,car,NewtCa00,off_pct,100%,,,,,
player,201811250car,car,NewtCa00,defense,0,,,,,
player,201811250car,car,NewtCa00,def_pct,0%,,,,,
player,201811250car,car,NewtCa00,special_teams,0,,,,,
player,201811250car,car,NewtCa00,st_pct,0%,,,,,
player,201811250car,car,McCaCh01,pos,RB,,,,,
player,201811250car,car,McCaCh01,offense,59,,,,,
player,201811250car,car,McCaCh01,off_pct,100%,,,,,
player,201811250car,car,McCaCh01,defense,0,,,,,
player,201811250car,car,McCaCh01,def_pct,0%,,,,,
player,201811250car,car,McCaCh01,special_teams,0,,,,,
player,201811250car,car,McCaCh01,st_pct,0%,,,,,
player,201811250car,car,KaliRy20,pos,C,,,,,
player,201811250car,car,KaliRy20,offense,59,,,,,
player,201811250car,car,KaliRy20,off_pct,100%,,,,,
