game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,SambTy00,st_pct,11%,,,,,
player,201809230atl,atl,GarlBe00,pos,G,,,,,
player,201809230atl,atl,GarlBe00,offense,0,,,,,
player,201809230atl,atl,GarlBe00,off_pct,0%,,,,,
player,201809230atl,atl,GarlBe00,defense,0,,,,,
player,201809230atl,atl,GarlBe00,def_pct,0%,,,,,
player,201809230atl,atl,GarlBe00,special_teams,4,,,,,
player,201809230atl,atl,GarlBe00,st_pct,11%,,,,,
player,201809230atl,atl,bryanmat01,pos,K,,,,,
player,201809230atl,atl,bryanmat01,offense,0,,,,,
player,201809230atl,atl,bryanmat01,off_pct,0%,,,,,
player,201809230atl,atl,bryanmat01,defense,0,,,,,
player,201809230atl,atl,bryanmat01,def_pct,0%,,,,,
player,201809230atl,atl,bryanmat01,special_teams,4,,,,,
player,201809230atl,atl,bryanmat01,st_pct,11%,,,,,
player,201809230atl,nor,RamcRy00,pos,T,,,,,
player,201809230atl,nor,RamcRy00,offense,79,,,,,
player,201809230atl,nor,RamcRy00,off_pct,100%,,,,,
player,201809230atl,nor,RamcRy00,defense,0,,,,,
player,201809230atl,nor,RamcRy00,def_pct,0%,,,,,
player,201809230atl,nor,RamcRy00,special_teams,7,,,,,
player,201809230atl,nor,RamcRy00,st_pct,19%,,,,,
player,201809230atl,nor,LeRiJo00,pos,G,,,,,
player,201809230atl,nor,LeRiJo00,offense,79,,,,,
player,201809230atl,nor,LeRiJo00,off_pct,100%,,,,,
player,201809230atl,nor,LeRiJo00,defense,0,,,,,
player,201809230atl,nor,LeRiJo00,def_pct,0%,,,,,
player,201809230atl,nor,LeRiJo00,special_teams,7,,,,,
player,201809230atl,nor,LeRiJo00,st_pct,19%,,,,,
player,201809230atl,nor,WarfLa00,pos,G,,,,,
player,201809230atl,nor,WarfLa00,offense,79,,,,,
player,201809230atl,nor,WarfLa00,off_pct,100%,,,,,
