game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,cle,HawkAn00,targets,8,,,,,
player,201411020cle,cle,HawkAn00,rec,3,,,,,
player,201411020cle,cle,HawkAn00,rec_yds,34,,,,,
player,201411020cle,cle,HawkAn00,rec_td,0,,,,,
player,201411020cle,cle,HawkAn00,rec_long,20,,,,,
player,201411020cle,cle,HawkAn00,fumbles,0,,,,,
player,201411020cle,cle,HawkAn00,fumbles_lost,0,,,,,
player,201411020cle,cle,DrayJi00,pass_cmp,0,,,,,
player,201411020cle,cle,DrayJi00,pass_att,0,,,,,
player,201411020cle,cle,DrayJi00,pass_yds,0,,,,,
player,201411020cle,cle,DrayJi00,pass_td,0,,,,,
player,201411020cle,cle,DrayJi00,pass_int,0,,,,,
player,201411020cle,cle,DrayJi00,pass_sacked,0,,,,,
player,201411020cle,cle,DrayJi00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,DrayJi00,pass_long,0,,,,,
player,201411020cle,cle,DrayJi00,pass_rating,,,,,,
player,201411020cle,cle,DrayJi00,rush_att,0,,,,,
player,201411020cle,cle,DrayJi00,rush_yds,0,,,,,
player,201411020cle,cle,DrayJi00,rush_td,0,,,,,
player,201411020cle,cle,DrayJi00,rush_long,0,,,,,
player,201411020cle,cle,DrayJi00,targets,1,,,,,
player,201411020cle,cle,DrayJi00,rec,1,,,,,
player,201411020cle,cle,DrayJi00,rec_yds,26,,,,,
player,201411020cle,cle,DrayJi00,rec_td,0,,,,,
player,201411020cle,cle,DrayJi00,rec_long,26,,,,,
player,201411020cle,cle,DrayJi00,fumbles,0,,,,,
player,201411020cle,cle,DrayJi00,fumbles_lost,0,,,,,
player,201411020cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201411020cle,cle,BarnGa01,pass_att,0,,,,,
player,201411020cle,cle,BarnGa01,pass_yds,0,,,,,
player,201411020cle,cle,BarnGa01,pass_td,0,,,,,
player,201411020cle,cle,BarnGa01,pass_int,0,,,,,
player,201411020cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201411020cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201411020cle,cle,BarnGa01,pass_long,0,,,,,
player,201411020cle,cle,BarnGa01,pass_rating,,,,,,
player,201411020cle,cle,BarnGa01,rush_att,0,,,,,
player,201411020cle,cle,BarnGa01,rush_yds,0,,,,,
player,201411020cle,cle,BarnGa01,rush_td,0,,,,,
player,201411020cle,cle,BarnGa01,rush_long,0,,,,,
player,201411020cle,cle,BarnGa01,targets,4,,,,,
player,201411020cle,cle,BarnGa01,rec,2,,,,,
player,201411020cle,cle,BarnGa01,rec_yds,16,,,,,
player,201411020cle,cle,BarnGa01,rec_td,0,,,,,
player,201411020cle,cle,BarnGa01,rec_long,13,,,,,
player,201411020cle,cle,BarnGa01,fumbles,0,,,,,
player,201411020cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201411020cle,tam,McDoCl99,def_int,1,,,,,
player,201411020cle,tam,McDoCl99,def_int_yds,3,,,,,
player,201411020cle,tam,McDoCl99,def_int_td,0,,,,,
player,201411020cle,tam,McDoCl99,def_int_long,3,,,,,
player,201411020cle,tam,McDoCl99,pass_defended,1,,,,,
player,201411020cle,tam,McDoCl99,sacks,0.0,,,,,
player,201411020cle,tam,McDoCl99,tackles_combined,4,,,,,
player,201411020cle,tam,McDoCl99,tackles_solo,2,,,,,
player,201411020cle,tam,McDoCl99,tackles_assists,2,,,,,
player,201411020cle,tam,McDoCl99,tackles_loss,1,,,,,
player,201411020cle,tam,McDoCl99,qb_hits,0,,,,,
player,201411020cle,tam,McDoCl99,fumbles_rec,0,,,,,
player,201411020cle,tam,McDoCl99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,McDoCl99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,McDoCl99,fumbles_forced,0,,,,,
player,201411020cle,tam,BankJo00,def_int,1,,,,,
player,201411020cle,tam,BankJo00,def_int_yds,18,,,,,
player,201411020cle,tam,BankJo00,def_int_td,0,,,,,
player,201411020cle,tam,BankJo00,def_int_long,18,,,,,
player,201411020cle,tam,BankJo00,pass_defended,2,,,,,
player,201411020cle,tam,BankJo00,sacks,0.0,,,,,
player,201411020cle,tam,BankJo00,tackles_combined,1,,,,,
player,201411020cle,tam,BankJo00,tackles_solo,0,,,,,
player,201411020cle,tam,BankJo00,tackles_assists,1,,,,,
player,201411020cle,tam,BankJo00,tackles_loss,0,,,,,
player,201411020cle,tam,BankJo00,qb_hits,0,,,,,
player,201411020cle,tam,BankJo00,fumbles_rec,0,,,,,
player,201411020cle,tam,BankJo00,fumbles_rec_yds,0,,,,,
