game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,atl,ToilLe00,pass_sacked,0,,,,,
player,201411230atl,atl,ToilLe00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,ToilLe00,pass_long,0,,,,,
player,201411230atl,atl,ToilLe00,pass_rating,,,,,,
player,201411230atl,atl,ToilLe00,rush_att,0,,,,,
player,201411230atl,atl,ToilLe00,rush_yds,0,,,,,
player,201411230atl,atl,ToilLe00,rush_td,0,,,,,
player,201411230atl,atl,ToilLe00,rush_long,0,,,,,
player,201411230atl,atl,ToilLe00,targets,3,,,,,
player,201411230atl,atl,ToilLe00,rec,2,,,,,
player,201411230atl,atl,ToilLe00,rec_yds,17,,,,,
player,201411230atl,atl,ToilLe00,rec_td,0,,,,,
player,201411230atl,atl,ToilLe00,rec_long,9,,,,,
player,201411230atl,atl,ToilLe00,fumbles,0,,,,,
player,201411230atl,atl,ToilLe00,fumbles_lost,0,,,,,
player,201411230atl,atl,DougHa00,pass_cmp,0,,,,,
player,201411230atl,atl,DougHa00,pass_att,0,,,,,
player,201411230atl,atl,DougHa00,pass_yds,0,,,,,
player,201411230atl,atl,DougHa00,pass_td,0,,,,,
player,201411230atl,atl,DougHa00,pass_int,0,,,,,
player,201411230atl,atl,DougHa00,pass_sacked,0,,,,,
player,201411230atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,DougHa00,pass_long,0,,,,,
player,201411230atl,atl,DougHa00,pass_rating,,,,,,
player,201411230atl,atl,DougHa00,rush_att,0,,,,,
player,201411230atl,atl,DougHa00,rush_yds,0,,,,,
player,201411230atl,atl,DougHa00,rush_td,0,,,,,
player,201411230atl,atl,DougHa00,rush_long,0,,,,,
player,201411230atl,atl,DougHa00,targets,4,,,,,
player,201411230atl,atl,DougHa00,rec,2,,,,,
player,201411230atl,atl,DougHa00,rec_yds,14,,,,,
player,201411230atl,atl,DougHa00,rec_td,0,,,,,
player,201411230atl,atl,DougHa00,rec_long,7,,,,,
player,201411230atl,atl,DougHa00,fumbles,0,,,,,
player,201411230atl,atl,DougHa00,fumbles_lost,0,,,,,
player,201411230atl,cle,HadeJo99,def_int,1,,,,,
player,201411230atl,cle,HadeJo99,def_int_yds,0,,,,,
player,201411230atl,cle,HadeJo99,def_int_td,0,,,,,
player,201411230atl,cle,HadeJo99,def_int_long,0,,,,,
player,201411230atl,cle,HadeJo99,pass_defended,1,,,,,
player,201411230atl,cle,HadeJo99,sacks,0.0,,,,,
player,201411230atl,cle,HadeJo99,tackles_combined,5,,,,,
player,201411230atl,cle,HadeJo99,tackles_solo,5,,,,,
player,201411230atl,cle,HadeJo99,tackles_assists,0,,,,,
player,201411230atl,cle,HadeJo99,tackles_loss,0,,,,,
