game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,kan,BoweDw00,rec_td,0,,,,,
player,201411300kan,kan,BoweDw00,rec_long,10,,,,,
player,201411300kan,kan,BoweDw00,fumbles,0,,,,,
player,201411300kan,kan,BoweDw00,fumbles_lost,0,,,,,
player,201411300kan,kan,ThomDe05,pass_cmp,0,,,,,
player,201411300kan,kan,ThomDe05,pass_att,0,,,,,
player,201411300kan,kan,ThomDe05,pass_yds,0,,,,,
player,201411300kan,kan,ThomDe05,pass_td,0,,,,,
player,201411300kan,kan,ThomDe05,pass_int,0,,,,,
player,201411300kan,kan,ThomDe05,pass_sacked,0,,,,,
player,201411300kan,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201411300kan,kan,ThomDe05,pass_long,0,,,,,
player,201411300kan,kan,ThomDe05,pass_rating,,,,,,
player,201411300kan,kan,ThomDe05,rush_att,0,,,,,
player,201411300kan,kan,ThomDe05,rush_yds,0,,,,,
player,201411300kan,kan,ThomDe05,rush_td,0,,,,,
player,201411300kan,kan,ThomDe05,rush_long,0,,,,,
player,201411300kan,kan,ThomDe05,targets,2,,,,,
player,201411300kan,kan,ThomDe05,rec,2,,,,,
player,201411300kan,kan,ThomDe05,rec_yds,5,,,,,
player,201411300kan,kan,ThomDe05,rec_td,0,,,,,
player,201411300kan,kan,ThomDe05,rec_long,5,,,,,
player,201411300kan,kan,ThomDe05,fumbles,0,,,,,
player,201411300kan,kan,ThomDe05,fumbles_lost,0,,,,,
player,201411300kan,den,WareDe99,def_int,1,,,,,
player,201411300kan,den,WareDe99,def_int_yds,3,,,,,
player,201411300kan,den,WareDe99,def_int_td,0,,,,,
player,201411300kan,den,WareDe99,def_int_long,3,,,,,
player,201411300kan,den,WareDe99,pass_defended,1,,,,,
player,201411300kan,den,WareDe99,sacks,1.0,,,,,
player,201411300kan,den,WareDe99,tackles_combined,3,,,,,
player,201411300kan,den,WareDe99,tackles_solo,3,,,,,
player,201411300kan,den,WareDe99,tackles_assists,0,,,,,
player,201411300kan,den,WareDe99,tackles_loss,2,,,,,
player,201411300kan,den,WareDe99,qb_hits,2,,,,,
player,201411300kan,den,WareDe99,fumbles_rec,0,,,,,
player,201411300kan,den,WareDe99,fumbles_rec_yds,0,,,,,
player,201411300kan,den,WareDe99,fumbles_rec_td,0,,,,,
player,201411300kan,den,WareDe99,fumbles_forced,0,,,,,
player,201411300kan,den,MillVo00,def_int,0,,,,,
player,201411300kan,den,MillVo00,def_int_yds,0,,,,,
player,201411300kan,den,MillVo00,def_int_td,0,,,,,
player,201411300kan,den,MillVo00,def_int_long,0,,,,,
player,201411300kan,den,MillVo00,pass_defended,1,,,,,
player,201411300kan,den,MillVo00,sacks,2.0,,,,,
player,201411300kan,den,MillVo00,tackles_combined,3,,,,,
player,201411300kan,den,MillVo00,tackles_solo,3,,,,,
player,201411300kan,den,MillVo00,tackles_assists,0,,,,,
player,201411300kan,den,MillVo00,tackles_loss,2,,,,,
player,201411300kan,den,MillVo00,qb_hits,3,,,,,
player,201411300kan,den,MillVo00,fumbles_rec,0,,,,,
player,201411300kan,den,MillVo00,fumbles_rec_yds,0,,,,,
player,201411300kan,den,MillVo00,fumbles_rec_td,0,,,,,
player,201411300kan,den,MillVo00,fumbles_forced,0,,,,,
player,201411300kan,den,MarsBr01,def_int,0,,,,,
player,201411300kan,den,MarsBr01,def_int_yds,0,,,,,
player,201411300kan,den,MarsBr01,def_int_td,0,,,,,
player,201411300kan,den,MarsBr01,def_int_long,0,,,,,
player,201411300kan,den,MarsBr01,pass_defended,0,,,,,
player,201411300kan,den,MarsBr01,sacks,1.0,,,,,
player,201411300kan,den,MarsBr01,tackles_combined,6,,,,,
player,201411300kan,den,MarsBr01,tackles_solo,5,,,,,
player,201411300kan,den,MarsBr01,tackles_assists,1,,,,,
player,201411300kan,den,MarsBr01,tackles_loss,2,,,,,
player,201411300kan,den,MarsBr01,qb_hits,1,,,,,
player,201411300kan,den,MarsBr01,fumbles_rec,0,,,,,
player,201411300kan,den,MarsBr01,fumbles_rec_yds,0,,,,,
player,201411300kan,den,MarsBr01,fumbles_rec_td,0,,,,,
player,201411300kan,den,MarsBr01,fumbles_forced,0,,,,,
player,201411300kan,den,WardT.99,def_int,0,,,,,
player,201411300kan,den,WardT.99,def_int_yds,0,,,,,
player,201411300kan,den,WardT.99,def_int_td,0,,,,,
player,201411300kan,den,WardT.99,def_int_long,0,,,,,
player,201411300kan,den,WardT.99,pass_defended,0,,,,,
player,201411300kan,den,WardT.99,sacks,1.0,,,,,
player,201411300kan,den,WardT.99,tackles_combined,6,,,,,
player,201411300kan,den,WardT.99,tackles_solo,6,,,,,
player,201411300kan,den,WardT.99,tackles_assists,0,,,,,
