game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,dal,SpilCJ99,def_int_long,0,,,,,
player,201412040chi,dal,SpilCJ99,pass_defended,0,,,,,
player,201412040chi,dal,SpilCJ99,sacks,0.0,,,,,
player,201412040chi,dal,SpilCJ99,tackles_combined,3,,,,,
player,201412040chi,dal,SpilCJ99,tackles_solo,3,,,,,
player,201412040chi,dal,SpilCJ99,tackles_assists,0,,,,,
player,201412040chi,dal,SpilCJ99,tackles_loss,0,,,,,
player,201412040chi,dal,SpilCJ99,qb_hits,0,,,,,
player,201412040chi,dal,SpilCJ99,fumbles_rec,0,,,,,
player,201412040chi,dal,SpilCJ99,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,SpilCJ99,fumbles_rec_td,0,,,,,
player,201412040chi,dal,SpilCJ99,fumbles_forced,0,,,,,
player,201412040chi,dal,BrenJo00,def_int,0,,,,,
player,201412040chi,dal,BrenJo00,def_int_yds,0,,,,,
player,201412040chi,dal,BrenJo00,def_int_td,0,,,,,
player,201412040chi,dal,BrenJo00,def_int_long,0,,,,,
player,201412040chi,dal,BrenJo00,pass_defended,0,,,,,
player,201412040chi,dal,BrenJo00,sacks,0.0,,,,,
player,201412040chi,dal,BrenJo00,tackles_combined,2,,,,,
player,201412040chi,dal,BrenJo00,tackles_solo,1,,,,,
player,201412040chi,dal,BrenJo00,tackles_assists,1,,,,,
player,201412040chi,dal,BrenJo00,tackles_loss,,,,,,
player,201412040chi,dal,BrenJo00,qb_hits,,,,,,
player,201412040chi,dal,BrenJo00,fumbles_rec,0,,,,,
player,201412040chi,dal,BrenJo00,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,BrenJo00,fumbles_rec_td,0,,,,,
player,201412040chi,dal,BrenJo00,fumbles_forced,0,,,,,
player,201412040chi,dal,HarrDw00,def_int,0,,,,,
player,201412040chi,dal,HarrDw00,def_int_yds,0,,,,,
player,201412040chi,dal,HarrDw00,def_int_td,0,,,,,
player,201412040chi,dal,HarrDw00,def_int_long,0,,,,,
player,201412040chi,dal,HarrDw00,pass_defended,0,,,,,
player,201412040chi,dal,HarrDw00,sacks,0.0,,,,,
player,201412040chi,dal,HarrDw00,tackles_combined,2,,,,,
player,201412040chi,dal,HarrDw00,tackles_solo,2,,,,,
player,201412040chi,dal,HarrDw00,tackles_assists,0,,,,,
player,201412040chi,dal,HarrDw00,tackles_loss,0,,,,,
player,201412040chi,dal,HarrDw00,qb_hits,0,,,,,
player,201412040chi,dal,HarrDw00,fumbles_rec,0,,,,,
