game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,rai,MastJe20,pass_yds,0,,,,,
player,201309290rai,rai,MastJe20,pass_td,0,,,,,
player,201309290rai,rai,MastJe20,pass_int,0,,,,,
player,201309290rai,rai,MastJe20,pass_sacked,,,,,,
player,201309290rai,rai,MastJe20,pass_sacked_yds,0,,,,,
player,201309290rai,rai,MastJe20,pass_long,0,,,,,
player,201309290rai,rai,MastJe20,pass_rating,,,,,,
player,201309290rai,rai,MastJe20,rush_att,0,,,,,
player,201309290rai,rai,MastJe20,rush_yds,0,,,,,
player,201309290rai,rai,MastJe20,rush_td,0,,,,,
player,201309290rai,rai,MastJe20,rush_long,0,,,,,
player,201309290rai,rai,MastJe20,targets,2,,,,,
player,201309290rai,rai,MastJe20,rec,1,,,,,
player,201309290rai,rai,MastJe20,rec_yds,8,,,,,
player,201309290rai,rai,MastJe20,rec_td,0,,,,,
player,201309290rai,rai,MastJe20,rec_long,8,,,,,
player,201309290rai,rai,MastJe20,fumbles,0,,,,,
player,201309290rai,rai,MastJe20,fumbles_lost,0,,,,,
player,201309290rai,rai,ButlBr00,pass_cmp,0,,,,,
player,201309290rai,rai,ButlBr00,pass_att,0,,,,,
player,201309290rai,rai,ButlBr00,pass_yds,0,,,,,
player,201309290rai,rai,ButlBr00,pass_td,0,,,,,
player,201309290rai,rai,ButlBr00,pass_int,0,,,,,
player,201309290rai,rai,ButlBr00,pass_sacked,,,,,,
player,201309290rai,rai,ButlBr00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,ButlBr00,pass_long,0,,,,,
player,201309290rai,rai,ButlBr00,pass_rating,,,,,,
player,201309290rai,rai,ButlBr00,rush_att,0,,,,,
player,201309290rai,rai,ButlBr00,rush_yds,0,,,,,
player,201309290rai,rai,ButlBr00,rush_td,0,,,,,
player,201309290rai,rai,ButlBr00,rush_long,0,,,,,
player,201309290rai,rai,ButlBr00,targets,3,,,,,
player,201309290rai,rai,ButlBr00,rec,1,,,,,
player,201309290rai,rai,ButlBr00,rec_yds,6,,,,,
