game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,den,DeckEr00,rec,4,,,,,
player,201310270den,den,DeckEr00,rec_yds,42,,,,,
player,201310270den,den,DeckEr00,rec_td,0,,,,,
player,201310270den,den,DeckEr00,rec_long,19,,,,,
player,201310270den,den,DeckEr00,fumbles,0,,,,,
player,201310270den,den,DeckEr00,fumbles_lost,0,,,,,
player,201310270den,den,ThomJu00,pass_cmp,0,,,,,
player,201310270den,den,ThomJu00,pass_att,0,,,,,
player,201310270den,den,ThomJu00,pass_yds,0,,,,,
player,201310270den,den,ThomJu00,pass_td,0,,,,,
player,201310270den,den,ThomJu00,pass_int,0,,,,,
player,201310270den,den,ThomJu00,pass_sacked,0,,,,,
player,201310270den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201310270den,den,ThomJu00,pass_long,0,,,,,
player,201310270den,den,ThomJu00,pass_rating,,,,,,
player,201310270den,den,ThomJu00,rush_att,0,,,,,
player,201310270den,den,ThomJu00,rush_yds,0,,,,,
player,201310270den,den,ThomJu00,rush_td,0,,,,,
player,201310270den,den,ThomJu00,rush_long,0,,,,,
player,201310270den,den,ThomJu00,targets,3,,,,,
player,201310270den,den,ThomJu00,rec,3,,,,,
player,201310270den,den,ThomJu00,rec_yds,29,,,,,
player,201310270den,den,ThomJu00,rec_td,0,,,,,
player,201310270den,den,ThomJu00,rec_long,19,,,,,
player,201310270den,den,ThomJu00,fumbles,0,,,,,
player,201310270den,den,ThomJu00,fumbles_lost,0,,,,,
player,201310270den,den,TammJa00,pass_cmp,0,,,,,
player,201310270den,den,TammJa00,pass_att,0,,,,,
player,201310270den,den,TammJa00,pass_yds,0,,,,,
player,201310270den,den,TammJa00,pass_td,0,,,,,
player,201310270den,den,TammJa00,pass_int,0,,,,,
player,201310270den,den,TammJa00,pass_sacked,0,,,,,
player,201310270den,den,TammJa00,pass_sacked_yds,0,,,,,
player,201310270den,den,TammJa00,pass_long,0,,,,,
player,201310270den,den,TammJa00,pass_rating,,,,,,
player,201310270den,den,TammJa00,rush_att,0,,,,,
player,201310270den,den,TammJa00,rush_yds,0,,,,,
player,201310270den,den,TammJa00,rush_td,0,,,,,
player,201310270den,den,TammJa00,rush_long,0,,,,,
player,201310270den,den,TammJa00,targets,1,,,,,
player,201310270den,den,TammJa00,rec,1,,,,,
player,201310270den,den,TammJa00,rec_yds,15,,,,,
player,201310270den,den,TammJa00,rec_td,0,,,,,
player,201310270den,den,TammJa00,rec_long,15,,,,,
player,201310270den,den,TammJa00,fumbles,0,,,,,
player,201310270den,den,TammJa00,fumbles_lost,0,,,,,
player,201310270den,den,CaldAn00,pass_cmp,0,,,,,
player,201310270den,den,CaldAn00,pass_att,0,,,,,
player,201310270den,den,CaldAn00,pass_yds,0,,,,,
player,201310270den,den,CaldAn00,pass_td,0,,,,,
player,201310270den,den,CaldAn00,pass_int,0,,,,,
player,201310270den,den,CaldAn00,pass_sacked,0,,,,,
player,201310270den,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201310270den,den,CaldAn00,pass_long,0,,,,,
player,201310270den,den,CaldAn00,pass_rating,,,,,,
player,201310270den,den,CaldAn00,rush_att,0,,,,,
player,201310270den,den,CaldAn00,rush_yds,0,,,,,
player,201310270den,den,CaldAn00,rush_td,0,,,,,
player,201310270den,den,CaldAn00,rush_long,0,,,,,
player,201310270den,den,CaldAn00,targets,2,,,,,
player,201310270den,den,CaldAn00,rec,1,,,,,
player,201310270den,den,CaldAn00,rec_yds,14,,,,,
player,201310270den,den,CaldAn00,rec_td,0,,,,,
player,201310270den,den,CaldAn00,rec_long,14,,,,,
player,201310270den,den,CaldAn00,fumbles,0,,,,,
player,201310270den,den,CaldAn00,fumbles_lost,0,,,,,
player,201310270den,den,DreeJo00,pass_cmp,0,,,,,
player,201310270den,den,DreeJo00,pass_att,0,,,,,
player,201310270den,den,DreeJo00,pass_yds,0,,,,,
player,201310270den,den,DreeJo00,pass_td,0,,,,,
player,201310270den,den,DreeJo00,pass_int,0,,,,,
player,201310270den,den,DreeJo00,pass_sacked,0,,,,,
player,201310270den,den,DreeJo00,pass_sacked_yds,0,,,,,
player,201310270den,den,DreeJo00,pass_long,0,,,,,
player,201310270den,den,DreeJo00,pass_rating,,,,,,
player,201310270den,den,DreeJo00,rush_att,0,,,,,
player,201310270den,den,DreeJo00,rush_yds,0,,,,,
player,201310270den,den,DreeJo00,rush_td,0,,,,,
player,201310270den,den,DreeJo00,rush_long,0,,,,,
player,201310270den,den,DreeJo00,targets,2,,,,,
player,201310270den,den,DreeJo00,rec,2,,,,,
player,201310270den,den,DreeJo00,rec_yds,9,,,,,
player,201310270den,den,DreeJo00,rec_td,1,,,,,
player,201310270den,den,DreeJo00,rec_long,8,,,,,
player,201310270den,den,DreeJo00,fumbles,0,,,,,
player,201310270den,den,DreeJo00,fumbles_lost,0,,,,,
