game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,htx,ElliBr00,pass_int,0,,,,,
player,201711190htx,htx,ElliBr00,pass_sacked,0,,,,,
player,201711190htx,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201711190htx,htx,ElliBr00,pass_long,0,,,,,
player,201711190htx,htx,ElliBr00,pass_rating,,,,,,
player,201711190htx,htx,ElliBr00,rush_att,1,,,,,
player,201711190htx,htx,ElliBr00,rush_yds,5,,,,,
player,201711190htx,htx,ElliBr00,rush_td,0,,,,,
player,201711190htx,htx,ElliBr00,rush_long,5,,,,,
player,201711190htx,htx,ElliBr00,targets,7,,,,,
player,201711190htx,htx,ElliBr00,rec,6,,,,,
player,201711190htx,htx,ElliBr00,rec_yds,63,,,,,
player,201711190htx,htx,ElliBr00,rec_td,0,,,,,
player,201711190htx,htx,ElliBr00,rec_long,25,,,,,
player,201711190htx,htx,ElliBr00,fumbles,1,,,,,
player,201711190htx,htx,ElliBr00,fumbles_lost,0,,,,,
player,201711190htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201711190htx,htx,HopkDe00,pass_att,0,,,,,
player,201711190htx,htx,HopkDe00,pass_yds,0,,,,,
player,201711190htx,htx,HopkDe00,pass_td,0,,,,,
player,201711190htx,htx,HopkDe00,pass_int,0,,,,,
player,201711190htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201711190htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201711190htx,htx,HopkDe00,pass_long,0,,,,,
player,201711190htx,htx,HopkDe00,pass_rating,,,,,,
player,201711190htx,htx,HopkDe00,rush_att,0,,,,,
player,201711190htx,htx,HopkDe00,rush_yds,0,,,,,
player,201711190htx,htx,HopkDe00,rush_td,0,,,,,
player,201711190htx,htx,HopkDe00,rush_long,0,,,,,
player,201711190htx,htx,HopkDe00,targets,9,,,,,
player,201711190htx,htx,HopkDe00,rec,4,,,,,
player,201711190htx,htx,HopkDe00,rec_yds,76,,,,,
player,201711190htx,htx,HopkDe00,rec_td,1,,,,,
player,201711190htx,htx,HopkDe00,rec_long,34,,,,,
player,201711190htx,htx,HopkDe00,fumbles,0,,,,,
player,201711190htx,htx,HopkDe00,fumbles_lost,0,,,,,
