game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,det,JoneT.00,rush_td,0,,,,,
player,201709100det,det,JoneT.00,rush_long,0,,,,,
player,201709100det,det,JoneT.00,targets,4,,,,,
player,201709100det,det,JoneT.00,rec,2,,,,,
player,201709100det,det,JoneT.00,rec_yds,32,,,,,
player,201709100det,det,JoneT.00,rec_td,0,,,,,
player,201709100det,det,JoneT.00,rec_long,16,,,,,
player,201709100det,det,JoneT.00,fumbles,0,,,,,
player,201709100det,det,JoneT.00,fumbles_lost,0,,,,,
player,201709100det,det,EbroEr00,pass_cmp,0,,,,,
player,201709100det,det,EbroEr00,pass_att,0,,,,,
player,201709100det,det,EbroEr00,pass_yds,0,,,,,
player,201709100det,det,EbroEr00,pass_td,0,,,,,
player,201709100det,det,EbroEr00,pass_int,0,,,,,
player,201709100det,det,EbroEr00,pass_sacked,0,,,,,
player,201709100det,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201709100det,det,EbroEr00,pass_long,0,,,,,
player,201709100det,det,EbroEr00,pass_rating,,,,,,
player,201709100det,det,EbroEr00,rush_att,0,,,,,
player,201709100det,det,EbroEr00,rush_yds,0,,,,,
player,201709100det,det,EbroEr00,rush_td,0,,,,,
player,201709100det,det,EbroEr00,rush_long,0,,,,,
player,201709100det,det,EbroEr00,targets,3,,,,,
player,201709100det,det,EbroEr00,rec,2,,,,,
player,201709100det,det,EbroEr00,rec_yds,9,,,,,
player,201709100det,det,EbroEr00,rec_td,0,,,,,
player,201709100det,det,EbroEr00,rec_long,5,,,,,
player,201709100det,det,EbroEr00,fumbles,0,,,,,
player,201709100det,det,EbroEr00,fumbles_lost,0,,,,,
player,201709100det,det,RiddTh00,pass_cmp,0,,,,,
player,201709100det,det,RiddTh00,pass_att,0,,,,,
player,201709100det,det,RiddTh00,pass_yds,0,,,,,
player,201709100det,det,RiddTh00,pass_td,0,,,,,
player,201709100det,det,RiddTh00,pass_int,0,,,,,
player,201709100det,det,RiddTh00,pass_sacked,0,,,,,
player,201709100det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201709100det,det,RiddTh00,pass_long,0,,,,,
player,201709100det,det,RiddTh00,pass_rating,,,,,,
player,201709100det,det,RiddTh00,rush_att,1,,,,,
player,201709100det,det,RiddTh00,rush_yds,-1,,,,,
player,201709100det,det,RiddTh00,rush_td,0,,,,,
player,201709100det,det,RiddTh00,rush_long,-1,,,,,
player,201709100det,det,RiddTh00,targets,7,,,,,
player,201709100det,det,RiddTh00,rec,6,,,,,
player,201709100det,det,RiddTh00,rec_yds,27,,,,,
player,201709100det,det,RiddTh00,rec_td,1,,,,,
player,201709100det,det,RiddTh00,rec_long,13,,,,,
player,201709100det,det,RiddTh00,fumbles,0,,,,,
player,201709100det,det,RiddTh00,fumbles_lost,0,,,,,
player,201709100det,crd,BethJu00,def_int,1,,,,,
player,201709100det,crd,BethJu00,def_int_yds,82,,,,,
player,201709100det,crd,BethJu00,def_int_td,1,,,,,
player,201709100det,crd,BethJu00,def_int_long,82,,,,,
player,201709100det,crd,BethJu00,pass_defended,2,,,,,
player,201709100det,crd,BethJu00,sacks,0.0,,,,,
player,201709100det,crd,BethJu00,tackles_combined,4,,,,,
player,201709100det,crd,BethJu00,tackles_solo,3,,,,,
player,201709100det,crd,BethJu00,tackles_assists,1,,,,,
player,201709100det,crd,BethJu00,tackles_loss,0,,,,,
player,201709100det,crd,BethJu00,qb_hits,0,,,,,
player,201709100det,crd,BethJu00,fumbles_rec,0,,,,,
player,201709100det,crd,BethJu00,fumbles_rec_yds,0,,,,,
player,201709100det,crd,BethJu00,fumbles_rec_td,0,,,,,
