game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_cmp,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_att,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_yds,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_td,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_int,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_sacked,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_long,0,,,,,
player,201709170sdg,sdg,WattDe00,pass_rating,,,,,,
player,201709170sdg,sdg,WattDe00,rush_att,1,,,,,
player,201709170sdg,sdg,WattDe00,rush_yds,0,,,,,
player,201709170sdg,sdg,WattDe00,rush_td,0,,,,,
player,201709170sdg,sdg,WattDe00,rush_long,0,,,,,
player,201709170sdg,sdg,WattDe00,targets,0,,,,,
player,201709170sdg,sdg,WattDe00,rec,0,,,,,
player,201709170sdg,sdg,WattDe00,rec_yds,0,,,,,
player,201709170sdg,sdg,WattDe00,rec_td,0,,,,,
player,201709170sdg,sdg,WattDe00,rec_long,0,,,,,
player,201709170sdg,sdg,WattDe00,fumbles,0,,,,,
player,201709170sdg,sdg,WattDe00,fumbles_lost,0,,,,,
player,201709170sdg,mia,HayeWi99,def_int,0,,,,,
player,201709170sdg,mia,HayeWi99,def_int_yds,0,,,,,
player,201709170sdg,mia,HayeWi99,def_int_td,0,,,,,
player,201709170sdg,mia,HayeWi99,def_int_long,0,,,,,
player,201709170sdg,mia,HayeWi99,pass_defended,0,,,,,
player,201709170sdg,mia,HayeWi99,sacks,1.0,,,,,
player,201709170sdg,mia,HayeWi99,tackles_combined,2,,,,,
player,201709170sdg,mia,HayeWi99,tackles_solo,1,,,,,
player,201709170sdg,mia,HayeWi99,tackles_assists,1,,,,,
player,201709170sdg,mia,HayeWi99,tackles_loss,1,,,,,
player,201709170sdg,mia,HayeWi99,qb_hits,2,,,,,
player,201709170sdg,mia,HayeWi99,fumbles_rec,0,,,,,
player,201709170sdg,mia,HayeWi99,fumbles_rec_yds,0,,,,,
player,201709170sdg,mia,HayeWi99,fumbles_rec_td,0,,,,,
player,201709170sdg,mia,HayeWi99,fumbles_forced,0,,,,,
player,201709170sdg,mia,HullMi01,def_int,0,,,,,
player,201709170sdg,mia,HullMi01,def_int_yds,0,,,,,
player,201709170sdg,mia,HullMi01,def_int_td,0,,,,,
player,201709170sdg,mia,HullMi01,def_int_long,0,,,,,
player,201709170sdg,mia,HullMi01,pass_defended,0,,,,,
player,201709170sdg,mia,HullMi01,sacks,0.0,,,,,
player,201709170sdg,mia,HullMi01,tackles_combined,10,,,,,
player,201709170sdg,mia,HullMi01,tackles_solo,7,,,,,
player,201709170sdg,mia,HullMi01,tackles_assists,3,,,,,
player,201709170sdg,mia,HullMi01,tackles_loss,1,,,,,
player,201709170sdg,mia,HullMi01,qb_hits,1,,,,,
player,201709170sdg,mia,HullMi01,fumbles_rec,0,,,,,
player,201709170sdg,mia,HullMi01,fumbles_rec_yds,0,,,,,
player,201709170sdg,mia,HullMi01,fumbles_rec_td,0,,,,,
player,201709170sdg,mia,HullMi01,fumbles_forced,0,,,,,
player,201709170sdg,mia,AlonKi00,def_int,0,,,,,
player,201709170sdg,mia,AlonKi00,def_int_yds,0,,,,,
player,201709170sdg,mia,AlonKi00,def_int_td,0,,,,,
