game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
player,201711190nor,was,GaleJu00,pass_defended,0,,,,,
player,201711190nor,was,GaleJu00,sacks,0.0,,,,,
player,201711190nor,was,GaleJu00,tackles_combined,0,,,,,
player,201711190nor,was,GaleJu00,tackles_solo,0,,,,,
player,201711190nor,was,GaleJu00,tackles_assists,0,,,,,
player,201711190nor,was,GaleJu00,tackles_loss,0,,,,,
player,201711190nor,was,GaleJu00,qb_hits,2,,,,,
player,201711190nor,was,GaleJu00,fumbles_rec,0,,,,,
player,201711190nor,was,GaleJu00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,GaleJu00,fumbles_rec_td,0,,,,,
player,201711190nor,was,GaleJu00,fumbles_forced,0,,,,,
player,201711190nor,was,IoanMa01,def_int,0,,,,,
player,201711190nor,was,IoanMa01,def_int_yds,0,,,,,
player,201711190nor,was,IoanMa01,def_int_td,0,,,,,
player,201711190nor,was,IoanMa01,def_int_long,0,,,,,
player,201711190nor,was,IoanMa01,pass_defended,0,,,,,
player,201711190nor,was,IoanMa01,sacks,0.0,,,,,
player,201711190nor,was,IoanMa01,tackles_combined,0,,,,,
player,201711190nor,was,IoanMa01,tackles_solo,0,,,,,
player,201711190nor,was,IoanMa01,tackles_assists,0,,,,,
player,201711190nor,was,IoanMa01,tackles_loss,0,,,,,
player,201711190nor,was,IoanMa01,qb_hits,1,,,,,
player,201711190nor,was,IoanMa01,fumbles_rec,0,,,,,
player,201711190nor,was,IoanMa01,fumbles_rec_yds,0,,,,,
player,201711190nor,was,IoanMa01,fumbles_rec_td,0,,,,,
player,201711190nor,was,IoanMa01,fumbles_forced,0,,,,,
player,201711190nor,nor,BellVo00,def_int,0,,,,,
player,201711190nor,nor,BellVo00,def_int_yds,0,,,,,
player,201711190nor,nor,BellVo00,def_int_td,0,,,,,
player,201711190nor,nor,BellVo00,def_int_long,0,,,,,
player,201711190nor,nor,BellVo00,pass_defended,0,,,,,
player,201711190nor,nor,BellVo00,sacks,1.0,,,,,
player,201711190nor,nor,BellVo00,tackles_combined,13,,,,,
player,201711190nor,nor,BellVo00,tackles_solo,10,,,,,
player,201711190nor,nor,BellVo00,tackles_assists,3,,,,,
player,201711190nor,nor,BellVo00,tackles_loss,0,,,,,
player,201711190nor,nor,BellVo00,qb_hits,1,,,,,
player,201711190nor,nor,BellVo00,fumbles_rec,0,,,,,
player,201711190nor,nor,BellVo00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,BellVo00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,BellVo00,fumbles_forced,1,,,,,
player,201711190nor,nor,JordCa00,def_int,0,,,,,
player,201711190nor,nor,JordCa00,def_int_yds,0,,,,,
player,201711190nor,nor,JordCa00,def_int_td,0,,,,,
player,201711190nor,nor,JordCa00,def_int_long,0,,,,,
player,201711190nor,nor,JordCa00,pass_defended,0,,,,,
player,201711190nor,nor,JordCa00,sacks,1.0,,,,,
player,201711190nor,nor,JordCa00,tackles_combined,4,,,,,
player,201711190nor,nor,JordCa00,tackles_solo,4,,,,,
player,201711190nor,nor,JordCa00,tackles_assists,0,,,,,
player,201711190nor,nor,JordCa00,tackles_loss,2,,,,,
player,201711190nor,nor,JordCa00,qb_hits,1,,,,,
player,201711190nor,nor,JordCa00,fumbles_rec,0,,,,,
player,201711190nor,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,JordCa00,fumbles_forced,0,,,,,
player,201711190nor,nor,WillP.00,def_int,0,,,,,
player,201711190nor,nor,WillP.00,def_int_yds,0,,,,,
player,201711190nor,nor,WillP.00,def_int_td,0,,,,,
player,201711190nor,nor,WillP.00,def_int_long,0,,,,,
player,201711190nor,nor,WillP.00,pass_defended,0,,,,,
player,201711190nor,nor,WillP.00,sacks,0.0,,,,,
player,201711190nor,nor,WillP.00,tackles_combined,8,,,,,
player,201711190nor,nor,WillP.00,tackles_solo,5,,,,,
player,201711190nor,nor,WillP.00,tackles_assists,3,,,,,
player,201711190nor,nor,WillP.00,tackles_loss,0,,,,,
player,201711190nor,nor,WillP.00,qb_hits,0,,,,,
player,201711190nor,nor,WillP.00,fumbles_rec,0,,,,,
player,201711190nor,nor,WillP.00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,WillP.00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,WillP.00,fumbles_forced,0,,,,,
player,201711190nor,nor,WillMa06,def_int,0,,,,,
player,201711190nor,nor,WillMa06,def_int_yds,0,,,,,
player,201711190nor,nor,WillMa06,def_int_td,0,,,,,
player,201711190nor,nor,WillMa06,def_int_long,0,,,,,
player,201711190nor,nor,WillMa06,pass_defended,1,,,,,
player,201711190nor,nor,WillMa06,sacks,0.0,,,,,
player,201711190nor,nor,WillMa06,tackles_combined,7,,,,,
player,201711190nor,nor,WillMa06,tackles_solo,6,,,,,
player,201711190nor,nor,WillMa06,tackles_assists,1,,,,,
player,201711190nor,nor,WillMa06,tackles_loss,0,,,,,
player,201711190nor,nor,WillMa06,qb_hits,0,,,,,
player,201711190nor,nor,WillMa06,fumbles_rec,0,,,,,
player,201711190nor,nor,WillMa06,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,WillMa06,fumbles_rec_td,0,,,,,
player,201711190nor,nor,WillMa06,fumbles_forced,0,,,,,
player,201711190nor,nor,OkafAl00,def_int,0,,,,,
player,201711190nor,nor,OkafAl00,def_int_yds,0,,,,,
player,201711190nor,nor,OkafAl00,def_int_td,0,,,,,
player,201711190nor,nor,OkafAl00,def_int_long,0,,,,,
player,201711190nor,nor,OkafAl00,pass_defended,0,,,,,
player,201711190nor,nor,OkafAl00,sacks,0.0,,,,,
player,201711190nor,nor,OkafAl00,tackles_combined,6,,,,,
player,201711190nor,nor,OkafAl00,tackles_solo,1,,,,,
player,201711190nor,nor,OkafAl00,tackles_assists,5,,,,,
player,201711190nor,nor,OkafAl00,tackles_loss,0,,,,,
player,201711190nor,nor,OkafAl00,qb_hits,1,,,,,
player,201711190nor,nor,OkafAl00,fumbles_rec,0,,,,,
player,201711190nor,nor,OkafAl00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,OkafAl00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,OkafAl00,fumbles_forced,0,,,,,
player,201711190nor,nor,MautMi00,def_int,0,,,,,
player,201711190nor,nor,MautMi00,def_int_yds,0,,,,,
player,201711190nor,nor,MautMi00,def_int_td,0,,,,,
player,201711190nor,nor,MautMi00,def_int_long,0,,,,,
player,201711190nor,nor,MautMi00,pass_defended,0,,,,,
player,201711190nor,nor,MautMi00,sacks,0.0,,,,,
player,201711190nor,nor,MautMi00,tackles_combined,5,,,,,
player,201711190nor,nor,MautMi00,tackles_solo,3,,,,,
player,201711190nor,nor,MautMi00,tackles_assists,2,,,,,
player,201711190nor,nor,MautMi00,tackles_loss,1,,,,,
player,201711190nor,nor,MautMi00,qb_hits,0,,,,,
player,201711190nor,nor,MautMi00,fumbles_rec,0,,,,,
player,201711190nor,nor,MautMi00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,MautMi00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,MautMi00,fumbles_forced,0,,,,,
player,201711190nor,nor,TeoxMa00,def_int,0,,,,,
player,201711190nor,nor,TeoxMa00,def_int_yds,0,,,,,
player,201711190nor,nor,TeoxMa00,def_int_td,0,,,,,
player,201711190nor,nor,TeoxMa00,def_int_long,0,,,,,
player,201711190nor,nor,TeoxMa00,pass_defended,0,,,,,
player,201711190nor,nor,TeoxMa00,sacks,0.0,,,,,
player,201711190nor,nor,TeoxMa00,tackles_combined,5,,,,,
player,201711190nor,nor,TeoxMa00,tackles_solo,3,,,,,
player,201711190nor,nor,TeoxMa00,tackles_assists,2,,,,,
player,201711190nor,nor,TeoxMa00,tackles_loss,0,,,,,
player,201711190nor,nor,TeoxMa00,qb_hits,0,,,,,
player,201711190nor,nor,TeoxMa00,fumbles_rec,0,,,,,
player,201711190nor,nor,TeoxMa00,fumbles_rec_yds,0,,,,,
player,201711190nor,nor,TeoxMa00,fumbles_rec_td,0,,,,,
player,201711190nor,nor,TeoxMa00,fumbles_forced,0,,,,,
player,201711190nor,nor,BushRa00,def_int,0,,,,,
player,201711190nor,nor,BushRa00,def_int_yds,0,,,,,
player,201711190nor,nor,BushRa00,def_int_td,0,,,,,
player,201711190nor,nor,BushRa00,def_int_long,0,,,,,
player,201711190nor,nor,BushRa00,pass_defended,0,,,,,
player,201711190nor,nor,BushRa00,sacks,0.0,,,,,
player,201711190nor,nor,BushRa00,tackles_combined,3,,,,,
