game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,gnb,MaysDe00,rec,0,,,,,
player,201711190gnb,gnb,MaysDe00,rec_yds,0,,,,,
player,201711190gnb,gnb,MaysDe00,rec_td,0,,,,,
player,201711190gnb,gnb,MaysDe00,rec_long,0,,,,,
player,201711190gnb,gnb,MaysDe00,fumbles,2,,,,,
player,201711190gnb,gnb,MaysDe00,fumbles_lost,1,,,,,
player,201711190gnb,rav,WeddEr99,def_int,1,,,,,
player,201711190gnb,rav,WeddEr99,def_int_yds,3,,,,,
player,201711190gnb,rav,WeddEr99,def_int_td,0,,,,,
player,201711190gnb,rav,WeddEr99,def_int_long,3,,,,,
player,201711190gnb,rav,WeddEr99,pass_defended,1,,,,,
player,201711190gnb,rav,WeddEr99,sacks,0.0,,,,,
player,201711190gnb,rav,WeddEr99,tackles_combined,4,,,,,
player,201711190gnb,rav,WeddEr99,tackles_solo,4,,,,,
player,201711190gnb,rav,WeddEr99,tackles_assists,0,,,,,
player,201711190gnb,rav,WeddEr99,tackles_loss,0,,,,,
player,201711190gnb,rav,WeddEr99,qb_hits,0,,,,,
player,201711190gnb,rav,WeddEr99,fumbles_rec,0,,,,,
player,201711190gnb,rav,WeddEr99,fumbles_rec_yds,0,,,,,
player,201711190gnb,rav,WeddEr99,fumbles_rec_td,0,,,,,
player,201711190gnb,rav,WeddEr99,fumbles_forced,0,,,,,
player,201711190gnb,rav,HumpMa00,def_int,1,,,,,
player,201711190gnb,rav,HumpMa00,def_int_yds,15,,,,,
player,201711190gnb,rav,HumpMa00,def_int_td,0,,,,,
player,201711190gnb,rav,HumpMa00,def_int_long,15,,,,,
player,201711190gnb,rav,HumpMa00,pass_defended,2,,,,,
player,201711190gnb,rav,HumpMa00,sacks,0.0,,,,,
player,201711190gnb,rav,HumpMa00,tackles_combined,3,,,,,
player,201711190gnb,rav,HumpMa00,tackles_solo,2,,,,,
player,201711190gnb,rav,HumpMa00,tackles_assists,1,,,,,
