game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,sfo,SwaiBr00,pass_yds,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_td,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_int,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_sacked,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_long,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_rating,,,,,,
player,201112190sfo,sfo,SwaiBr00,rush_att,0,,,,,
player,201112190sfo,sfo,SwaiBr00,rush_yds,0,,,,,
player,201112190sfo,sfo,SwaiBr00,rush_td,0,,,,,
player,201112190sfo,sfo,SwaiBr00,rush_long,0,,,,,
player,201112190sfo,sfo,SwaiBr00,targets,2,,,,,
player,201112190sfo,sfo,SwaiBr00,rec,1,,,,,
player,201112190sfo,sfo,SwaiBr00,rec_yds,9,,,,,
player,201112190sfo,sfo,SwaiBr00,rec_td,0,,,,,
player,201112190sfo,sfo,SwaiBr00,rec_long,9,,,,,
player,201112190sfo,sfo,SwaiBr00,fumbles,0,,,,,
player,201112190sfo,sfo,SwaiBr00,fumbles_lost,,,,,,
player,201112190sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_sacked,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201112190sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201112190sfo,sfo,WalkHu00,rush_att,0,,,,,
player,201112190sfo,sfo,WalkHu00,rush_yds,0,,,,,
player,201112190sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201112190sfo,sfo,WalkHu00,rush_long,0,,,,,
player,201112190sfo,sfo,WalkHu00,targets,1,,,,,
player,201112190sfo,sfo,WalkHu00,rec,0,,,,,
player,201112190sfo,sfo,WalkHu00,rec_yds,0,,,,,
player,201112190sfo,sfo,WalkHu00,rec_td,0,,,,,
player,201112190sfo,sfo,WalkHu00,rec_long,0,,,,,
player,201112190sfo,sfo,WalkHu00,fumbles,0,,,,,
player,201112190sfo,sfo,WalkHu00,fumbles_lost,,,,,,
player,201112190sfo,pit,PolaTr99,def_int,0,,,,,
player,201112190sfo,pit,PolaTr99,def_int_yds,0,,,,,
player,201112190sfo,pit,PolaTr99,def_int_td,0,,,,,
player,201112190sfo,pit,PolaTr99,def_int_long,0,,,,,
