game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,tam,StroSa00,pass_int,0,,,,,
player,201111130tam,tam,StroSa00,pass_sacked,0,,,,,
player,201111130tam,tam,StroSa00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,StroSa00,pass_long,0,,,,,
player,201111130tam,tam,StroSa00,pass_rating,,,,,,
player,201111130tam,tam,StroSa00,rush_att,0,,,,,
player,201111130tam,tam,StroSa00,rush_yds,0,,,,,
player,201111130tam,tam,StroSa00,rush_td,0,,,,,
player,201111130tam,tam,StroSa00,rush_long,0,,,,,
player,201111130tam,tam,StroSa00,targets,1,,,,,
player,201111130tam,tam,StroSa00,rec,0,,,,,
player,201111130tam,tam,StroSa00,rec_yds,0,,,,,
player,201111130tam,tam,StroSa00,rec_td,0,,,,,
player,201111130tam,tam,StroSa00,rec_long,0,,,,,
player,201111130tam,tam,StroSa00,fumbles,0,,,,,
player,201111130tam,tam,StroSa00,fumbles_lost,,,,,,
player,201111130tam,tam,BrisDe00,pass_cmp,0,,,,,
player,201111130tam,tam,BrisDe00,pass_att,0,,,,,
player,201111130tam,tam,BrisDe00,pass_yds,0,,,,,
player,201111130tam,tam,BrisDe00,pass_td,0,,,,,
player,201111130tam,tam,BrisDe00,pass_int,0,,,,,
player,201111130tam,tam,BrisDe00,pass_sacked,0,,,,,
player,201111130tam,tam,BrisDe00,pass_sacked_yds,0,,,,,
