game,2010,9,20101107,201011070rai,kan,"Kansas City Chiefs",20,rai,"Oakland Raiders",23
player,201011070rai,rai,HeywDa00,targets,5,,,,,
player,201011070rai,rai,HeywDa00,rec,0,,,,,
player,201011070rai,rai,HeywDa00,rec_yds,0,,,,,
player,201011070rai,rai,HeywDa00,rec_td,0,,,,,
player,201011070rai,rai,HeywDa00,rec_long,,,,,,
player,201011070rai,rai,HeywDa00,fumbles,,,,,,
player,201011070rai,rai,HeywDa00,fumbles_lost,,,,,,
player,201011070rai,kan,McGrJo21,def_int,1,,,,,
player,201011070rai,kan,McGrJo21,def_int_yds,0,,,,,
player,201011070rai,kan,McGrJo21,def_int_td,0,,,,,
player,201011070rai,kan,McGrJo21,def_int_long,0,,,,,
player,201011070rai,kan,McGrJo21,pass_defended,3,,,,,
player,201011070rai,kan,McGrJo21,sacks,0.0,,,,,
player,201011070rai,kan,McGrJo21,tackles_combined,7,,,,,
player,201011070rai,kan,McGrJo21,tackles_solo,7,,,,,
player,201011070rai,kan,McGrJo21,tackles_assists,0,,,,,
