game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,rai,KellTo21,qb_hits,1,,,,,
player,201010240den,rai,KellTo21,fumbles_rec,0,,,,,
player,201010240den,rai,KellTo21,fumbles_rec_yds,0,,,,,
player,201010240den,rai,KellTo21,fumbles_rec_td,0,,,,,
player,201010240den,rai,KellTo21,fumbles_forced,0,,,,,
player,201010240den,rai,WimbKa20,def_int,0,,,,,
player,201010240den,rai,WimbKa20,def_int_yds,0,,,,,
player,201010240den,rai,WimbKa20,def_int_td,0,,,,,
player,201010240den,rai,WimbKa20,def_int_long,0,,,,,
player,201010240den,rai,WimbKa20,pass_defended,0,,,,,
player,201010240den,rai,WimbKa20,sacks,1.0,,,,,
player,201010240den,rai,WimbKa20,tackles_combined,2,,,,,
player,201010240den,rai,WimbKa20,tackles_solo,2,,,,,
player,201010240den,rai,WimbKa20,tackles_assists,0,,,,,
player,201010240den,rai,WimbKa20,tackles_loss,1,,,,,
player,201010240den,rai,WimbKa20,qb_hits,1,,,,,
player,201010240den,rai,WimbKa20,fumbles_rec,0,,,,,
player,201010240den,rai,WimbKa20,fumbles_rec_yds,0,,,,,
player,201010240den,rai,WimbKa20,fumbles_rec_td,0,,,,,
player,201010240den,rai,WimbKa20,fumbles_forced,0,,,,,
player,201010240den,rai,McClRo00,def_int,0,,,,,
player,201010240den,rai,McClRo00,def_int_yds,0,,,,,
player,201010240den,rai,McClRo00,def_int_td,0,,,,,
player,201010240den,rai,McClRo00,def_int_long,0,,,,,
player,201010240den,rai,McClRo00,pass_defended,1,,,,,
player,201010240den,rai,McClRo00,sacks,0.5,,,,,
player,201010240den,rai,McClRo00,tackles_combined,2,,,,,
player,201010240den,rai,McClRo00,tackles_solo,1,,,,,
player,201010240den,rai,McClRo00,tackles_assists,1,,,,,
