game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,clt,RobiGi21,targets,1,,,,,
player,201011010clt,clt,RobiGi21,rec,0,,,,,
player,201011010clt,clt,RobiGi21,rec_yds,0,,,,,
player,201011010clt,clt,RobiGi21,rec_td,0,,,,,
player,201011010clt,clt,RobiGi21,rec_long,,,,,,
player,201011010clt,clt,RobiGi21,fumbles,,,,,,
player,201011010clt,clt,RobiGi21,fumbles_lost,,,,,,
player,201011010clt,clt,EldrBr00,pass_cmp,,,,,,
player,201011010clt,clt,EldrBr00,pass_att,,,,,,
player,201011010clt,clt,EldrBr00,pass_yds,,,,,,
player,201011010clt,clt,EldrBr00,pass_td,,,,,,
player,201011010clt,clt,EldrBr00,pass_int,,,,,,
player,201011010clt,clt,EldrBr00,pass_sacked,,,,,,
player,201011010clt,clt,EldrBr00,pass_sacked_yds,,,,,,
player,201011010clt,clt,EldrBr00,pass_long,,,,,,
player,201011010clt,clt,EldrBr00,pass_rating,,,,,,
player,201011010clt,clt,EldrBr00,rush_att,,,,,,
player,201011010clt,clt,EldrBr00,rush_yds,,,,,,
player,201011010clt,clt,EldrBr00,rush_td,,,,,,
player,201011010clt,clt,EldrBr00,rush_long,,,,,,
player,201011010clt,clt,EldrBr00,targets,1,,,,,
player,201011010clt,clt,EldrBr00,rec,0,,,,,
player,201011010clt,clt,EldrBr00,rec_yds,0,,,,,
player,201011010clt,clt,EldrBr00,rec_td,0,,,,,
player,201011010clt,clt,EldrBr00,rec_long,,,,,,
player,201011010clt,clt,EldrBr00,fumbles,,,,,,
player,201011010clt,clt,EldrBr00,fumbles_lost,,,,,,
player,201011010clt,htx,AndeMa21,def_int,0,,,,,
player,201011010clt,htx,AndeMa21,def_int_yds,0,,,,,
player,201011010clt,htx,AndeMa21,def_int_td,0,,,,,
player,201011010clt,htx,AndeMa21,def_int_long,0,,,,,
player,201011010clt,htx,AndeMa21,pass_defended,0,,,,,
player,201011010clt,htx,AndeMa21,sacks,1.0,,,,,
player,201011010clt,htx,AndeMa21,tackles_combined,4,,,,,
player,201011010clt,htx,AndeMa21,tackles_solo,3,,,,,
player,201011010clt,htx,AndeMa21,tackles_assists,1,,,,,
player,201011010clt,htx,AndeMa21,tackles_loss,1,,,,,
player,201011010clt,htx,AndeMa21,qb_hits,1,,,,,
player,201011010clt,htx,AndeMa21,fumbles_rec,0,,,,,
player,201011010clt,htx,AndeMa21,fumbles_rec_yds,0,,,,,
player,201011010clt,htx,AndeMa21,fumbles_rec_td,0,,,,,
player,201011010clt,htx,AndeMa21,fumbles_forced,0,,,,,
player,201011010clt,htx,DileZa99,def_int,0,,,,,
player,201011010clt,htx,DileZa99,def_int_yds,0,,,,,
player,201011010clt,htx,DileZa99,def_int_td,0,,,,,
player,201011010clt,htx,DileZa99,def_int_long,0,,,,,
player,201011010clt,htx,DileZa99,pass_defended,0,,,,,
player,201011010clt,htx,DileZa99,sacks,0.0,,,,,
player,201011010clt,htx,DileZa99,tackles_combined,11,,,,,
player,201011010clt,htx,DileZa99,tackles_solo,10,,,,,
player,201011010clt,htx,DileZa99,tackles_assists,1,,,,,
player,201011010clt,htx,DileZa99,tackles_loss,1,,,,,
player,201011010clt,htx,DileZa99,qb_hits,0,,,,,
player,201011010clt,htx,DileZa99,fumbles_rec,0,,,,,
player,201011010clt,htx,DileZa99,fumbles_rec_yds,0,,,,,
player,201011010clt,htx,DileZa99,fumbles_rec_td,0,,,,,
player,201011010clt,htx,DileZa99,fumbles_forced,0,,,,,
player,201011010clt,htx,PollBe20,def_int,0,,,,,
player,201011010clt,htx,PollBe20,def_int_yds,0,,,,,
player,201011010clt,htx,PollBe20,def_int_td,0,,,,,
player,201011010clt,htx,PollBe20,def_int_long,0,,,,,
player,201011010clt,htx,PollBe20,pass_defended,0,,,,,
player,201011010clt,htx,PollBe20,sacks,0.0,,,,,
player,201011010clt,htx,PollBe20,tackles_combined,8,,,,,
player,201011010clt,htx,PollBe20,tackles_solo,6,,,,,
player,201011010clt,htx,PollBe20,tackles_assists,2,,,,,
player,201011010clt,htx,PollBe20,tackles_loss,0,,,,,
player,201011010clt,htx,PollBe20,qb_hits,0,,,,,
player,201011010clt,htx,PollBe20,fumbles_rec,0,,,,,
player,201011010clt,htx,PollBe20,fumbles_rec_yds,0,,,,,
player,201011010clt,htx,PollBe20,fumbles_rec_td,0,,,,,
player,201011010clt,htx,PollBe20,fumbles_forced,0,,,,,
player,201011010clt,htx,QuinGl99,def_int,0,,,,,
player,201011010clt,htx,QuinGl99,def_int_yds,0,,,,,
player,201011010clt,htx,QuinGl99,def_int_td,0,,,,,
player,201011010clt,htx,QuinGl99,def_int_long,0,,,,,
