game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,jax,OsgoKa00,rush_att,0,,,,,
player,201011210jax,jax,OsgoKa00,rush_yds,0,,,,,
player,201011210jax,jax,OsgoKa00,rush_td,0,,,,,
player,201011210jax,jax,OsgoKa00,rush_long,0,,,,,
player,201011210jax,jax,OsgoKa00,targets,4,,,,,
player,201011210jax,jax,OsgoKa00,rec,2,,,,,
player,201011210jax,jax,OsgoKa00,rec_yds,22,,,,,
player,201011210jax,jax,OsgoKa00,rec_td,0,,,,,
player,201011210jax,jax,OsgoKa00,rec_long,11,,,,,
player,201011210jax,jax,OsgoKa00,fumbles,0,,,,,
player,201011210jax,jax,OsgoKa00,fumbles_lost,,,,,,
player,201011210jax,jax,UndeTi00,pass_cmp,0,,,,,
player,201011210jax,jax,UndeTi00,pass_att,0,,,,,
player,201011210jax,jax,UndeTi00,pass_yds,0,,,,,
player,201011210jax,jax,UndeTi00,pass_td,0,,,,,
player,201011210jax,jax,UndeTi00,pass_int,0,,,,,
player,201011210jax,jax,UndeTi00,pass_sacked,,,,,,
player,201011210jax,jax,UndeTi00,pass_sacked_yds,,,,,,
player,201011210jax,jax,UndeTi00,pass_long,0,,,,,
player,201011210jax,jax,UndeTi00,pass_rating,,,,,,
player,201011210jax,jax,UndeTi00,rush_att,0,,,,,
player,201011210jax,jax,UndeTi00,rush_yds,0,,,,,
player,201011210jax,jax,UndeTi00,rush_td,0,,,,,
player,201011210jax,jax,UndeTi00,rush_long,0,,,,,
player,201011210jax,jax,UndeTi00,targets,5,,,,,
player,201011210jax,jax,UndeTi00,rec,1,,,,,
player,201011210jax,jax,UndeTi00,rec_yds,7,,,,,
player,201011210jax,jax,UndeTi00,rec_td,0,,,,,
player,201011210jax,jax,UndeTi00,rec_long,7,,,,,
player,201011210jax,jax,UndeTi00,fumbles,0,,,,,
player,201011210jax,jax,UndeTi00,fumbles_lost,0,,,,,
player,201011210jax,cle,WardT.99,def_int,2,,,,,
player,201011210jax,cle,WardT.99,def_int_yds,39,,,,,
player,201011210jax,cle,WardT.99,def_int_td,0,,,,,
player,201011210jax,cle,WardT.99,def_int_long,23,,,,,
player,201011210jax,cle,WardT.99,pass_defended,2,,,,,
player,201011210jax,cle,WardT.99,sacks,0.0,,,,,
player,201011210jax,cle,WardT.99,tackles_combined,5,,,,,
player,201011210jax,cle,WardT.99,tackles_solo,5,,,,,
player,201011210jax,cle,WardT.99,tackles_assists,0,,,,,
player,201011210jax,cle,WardT.99,tackles_loss,0,,,,,
player,201011210jax,cle,WardT.99,qb_hits,0,,,,,
player,201011210jax,cle,WardT.99,fumbles_rec,0,,,,,
player,201011210jax,cle,WardT.99,fumbles_rec_yds,0,,,,,
player,201011210jax,cle,WardT.99,fumbles_rec_td,0,,,,,
player,201011210jax,cle,WardT.99,fumbles_forced,0,,,,,
player,201011210jax,cle,ElamAb20,def_int,1,,,,,
player,201011210jax,cle,ElamAb20,def_int_yds,0,,,,,
player,201011210jax,cle,ElamAb20,def_int_td,0,,,,,
player,201011210jax,cle,ElamAb20,def_int_long,0,,,,,
player,201011210jax,cle,ElamAb20,pass_defended,2,,,,,
player,201011210jax,cle,ElamAb20,sacks,0.0,,,,,
player,201011210jax,cle,ElamAb20,tackles_combined,6,,,,,
player,201011210jax,cle,ElamAb20,tackles_solo,6,,,,,
player,201011210jax,cle,ElamAb20,tackles_assists,0,,,,,
player,201011210jax,cle,ElamAb20,tackles_loss,0,,,,,
player,201011210jax,cle,ElamAb20,qb_hits,0,,,,,
player,201011210jax,cle,ElamAb20,fumbles_rec,1,,,,,
player,201011210jax,cle,ElamAb20,fumbles_rec_yds,18,,,,,
player,201011210jax,cle,ElamAb20,fumbles_rec_td,1,,,,,
player,201011210jax,cle,ElamAb20,fumbles_forced,1,,,,,
player,201011210jax,cle,HadeJo99,def_int,1,,,,,
player,201011210jax,cle,HadeJo99,def_int_yds,27,,,,,
player,201011210jax,cle,HadeJo99,def_int_td,0,,,,,
player,201011210jax,cle,HadeJo99,def_int_long,27,,,,,
player,201011210jax,cle,HadeJo99,pass_defended,3,,,,,
player,201011210jax,cle,HadeJo99,sacks,0.0,,,,,
